                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3504,                 1.6723,                 1.7934,                0.51806,                0.37113,                0.40909,                0.21862,                 1.6082,                  1.837,                 1.9217,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.3573,                 1.6818,                 1.7913,                 0.5286,                0.37263,                0.38833,                0.20953,                  1.608,                 1.8642,                 1.9714,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.3574,                 1.6726,                 1.7868,                0.50648,                 0.3971,                0.40784,                0.22218,                 1.5872,                 1.7643,                 1.9388,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.3266,                 1.6631,                 1.7789,                  0.537,                0.40483,                0.42577,                 0.2335,                 1.5586,                 1.7422,                 1.9176,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.3242,                 1.6238,                 1.7656,                0.58054,                0.39086,                  0.436,                0.24033,                  1.585,                 1.7364,                 1.9228,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.3149,                 1.6299,                 1.7665,                0.57247,                0.39687,                0.43521,                0.24468,                 1.5383,                 1.7089,                 1.8897,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.3061,                 1.6133,                 1.7528,                0.52851,                0.41958,                0.43282,                0.23401,                 1.5921,                 1.7205,                 1.9358,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.4132,                 1.5007,                 1.8735,                0.55426,                 0.4137,                0.43457,                0.24474,                 1.5131,                 1.6919,                 1.8686,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.3775,                 1.4416,                 1.8423,                0.63748,                0.41025,                0.46192,                0.26519,                 1.4805,                 1.6544,                 1.8179,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.3629,                 1.4158,                  1.824,                0.61621,                 0.4088,                0.46129,                0.26404,                 1.4872,                 1.6265,                 1.8414,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.3464,                 1.3965,                 1.8142,                0.62975,                 0.4158,                0.46843,                0.26918,                 1.4712,                 1.5845,                 1.8201,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.3302,                 1.3801,                 1.8011,                 0.5863,                0.42697,                0.46917,                0.27199,                 1.4816,                 1.5869,                 1.8141,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.3219,                  1.356,                  1.793,                0.63562,                0.41618,                0.46857,                0.27027,                 1.4803,                 1.5963,                 1.8347,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.3208,                 1.3449,                 1.7943,                0.62416,                0.42245,                0.47979,                  0.281,                 1.4584,                 1.5476,                 1.8034,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.3124,                 1.3492,                  1.783,                0.64976,                0.41922,                0.48302,                0.28249,                  1.456,                 1.5451,                 1.8079,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.3068,                 1.3268,                 1.7775,                0.61348,                0.44194,                0.48736,                0.28619,                 1.4494,                 1.5367,                 1.7851,             0.00011569,             0.00011569,             0.00011569
                     50,                  1.281,                 1.2897,                 1.7578,                0.65785,                0.41577,                0.48642,                0.28578,                 1.4434,                 1.5393,                 1.7816,             8.2683e-05,             8.2683e-05,             8.2683e-05
